Image_Key,Canton,Latitude,Longitude,Camera_Angle,Sequence_Key,Captured_At,Panorama
IMhmeb8pBezZTV30U9501Q,LU,47.045665,8.305463,68.3652,sipbmy39rqgrjbkaydgwf2,2020-04-12T13:34:58.764Z,False
JMq6Z4SQVe54efmxj-9R_g,LU,47.0457015,8.3056482,2.76244,sipbmy39rqgrjbkaydgwf2,2020-04-12T13:34:58.764Z,False
yj3bMspCqAmwfSeOL0K0rA,LU,47.0456466,8.3056801,92.6374,sipbmy39rqgrjbkaydgwf2,2020-04-12T13:34:58.764Z,False
2ADK2-Mae4ow350V_qRemg,LU,47.045428,8.3057494,93.2096,sipbmy39rqgrjbkaydgwf2,2020-04-12T13:34:58.764Z,False
nZp-4megYaaZKK1bVe2Lgg,LU,47.0452289,8.3056941,88.0684,sipbmy39rqgrjbkaydgwf2,2020-04-12T13:34:58.764Z,False
Wf3rTlHqX_ghMCnHA0bjnw,LU,47.0449953,8.3056673,94.2809,sipbmy39rqgrjbkaydgwf2,2020-04-12T13:34:58.764Z,False
cwOEWdYW9CXSz6RMW1H8QA,LU,47.0449124,8.3056697,36.0302,sipbmy39rqgrjbkaydgwf2,2020-04-12T13:34:58.764Z,False
xiXPFqQdgMPB70I1QLUFcQ,LU,47.0447593,8.3057661,38.9163,sipbmy39rqgrjbkaydgwf2,2020-04-12T13:34:58.764Z,False
FsgjLmdISjkMjBtX-P4EHw,LU,47.044742,8.3058318,18.8803,sipbmy39rqgrjbkaydgwf2,2020-04-12T13:34:58.764Z,False
1abeZi1OBq-WxWo7ZbEoRA,LU,47.0446395,8.3060574,76.5876,sipbmy39rqgrjbkaydgwf2,2020-04-12T13:34:58.764Z,False
VzGlLiibsYrifO0YK9iSAA,LU,47.0445455,8.3061679,68.9282,sipbmy39rqgrjbkaydgwf2,2020-04-12T13:34:58.764Z,False
-MfRC45XqfzQKYWlapS98w,LU,47.050802,8.305213,262.001,sioupfwvn8q42mmz5ams3o,2020-03-10T16:59:46.555Z,False
N-R1_t5l29DvtuKBkqNkqQ,LU,47.0508393,8.3049968,166.94,sioupfwvn8q42mmz5ams3o,2020-03-10T16:59:46.555Z,False
_j7e7-grfzy0GuvulgFiJQ,LU,47.0508527,8.3048392,177.65,sioupfwvn8q42mmz5ams3o,2020-03-10T16:59:46.555Z,False
OjHkW-kQGAQjJHbxPzxGyA,LU,47.0507847,8.3045842,200.76,sioupfwvn8q42mmz5ams3o,2020-03-10T16:59:46.555Z,False
McfAq-uQ1sgPPwBo_NgGKg,LU,47.0508735,8.3042716,171.795,sioupfwvn8q42mmz5ams3o,2020-03-10T16:59:46.555Z,False
lRyD0HWKlXd95XDuYUjf_Q,LU,47.0508816,8.304114,182.912,sioupfwvn8q42mmz5ams3o,2020-03-10T16:59:46.555Z,False
GkReWdNtAZ0oFnwwVXsKcA,LU,47.0509067,8.303835,169.423,sioupfwvn8q42mmz5ams3o,2020-03-10T16:59:46.555Z,False
Bv3t9g11qAhVGaw-1lYrMA,LU,47.0507821,8.3035429,178.626,sioupfwvn8q42mmz5ams3o,2020-03-10T16:59:46.555Z,False
ZoDbQ97S1JQlSMRdQgK2NQ,LU,47.0505505,8.3032753,175.04,sioupfwvn8q42mmz5ams3o,2020-03-10T16:59:46.555Z,False
klv1yUXwM3Lr_Eg2_iLTTQ,LU,47.0504804,8.3029936,309.064,sioupfwvn8q42mmz5ams3o,2020-03-10T16:59:46.555Z,False
DlUiEqGxhcEt4-CAo4zWSg,LU,47.0504746,8.3028933,10.4888,sioupfwvn8q42mmz5ams3o,2020-03-10T16:59:46.555Z,False
OfVsG1beavdasncd7Bm0mA,LU,47.0507818,8.3026531,301.783,sioupfwvn8q42mmz5ams3o,2020-03-10T16:59:46.555Z,False
H2LaOkHoVrnksSZY49Z1rQ,LU,47.0509868,8.3023969,322.13,sioupfwvn8q42mmz5ams3o,2020-03-10T16:59:46.555Z,False
8CHx7c6WLLT7Ko6gQNiEaQ,LU,47.0510297,8.3020811,323.385,sioupfwvn8q42mmz5ams3o,2020-03-10T16:59:46.555Z,False
F-x6RG300MK08tp1MGJwTg,LU,47.0511138,8.3020064,287.275,sioupfwvn8q42mmz5ams3o,2020-03-10T16:59:46.555Z,False
1oj677YJjGcqQsJK2ZT77A,LU,47.0511414,8.3018351,294.111,sioupfwvn8q42mmz5ams3o,2020-03-10T16:59:46.555Z,False
z3LEgN4s5fWVRhg92UNSdQ,LU,47.0305762,8.2945953,190.753,q5wjdod7mnujw6qye9dqe8,2019-12-22T11:14:23.935Z,False
BZezS0TZXdQWo9EUGb9r-Q,LU,47.0295891,8.2944076,185.337,q5wjdod7mnujw6qye9dqe8,2019-12-22T11:14:23.935Z,False
VDWqCAmLnrl-xNucogl3ow,LU,47.0286039,8.2942299,191.182,q5wjdod7mnujw6qye9dqe8,2019-12-22T11:14:23.935Z,False
2puO-P2JrJC50nx8xWrGTw,LU,47.1474916,8.1755604,126.695,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
jDgnzVni2FnXiPB0lsOw3w,LU,47.1467251,8.1771318,124.99,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
Lhej8A22aHkwd0SxMOwLjQ,LU,47.1459083,8.1788992,122.561,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
VkhD_a9rdNP_82BH8AWTxQ,LU,47.1451495,8.180722,121.062,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
atE3lK3HBn4KMfnMkp5ExA,LU,47.1443624,8.1826983,120.844,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
TnTFZtTFKb_j-OU5C-DVCQ,LU,47.1436927,8.1847075,112.989,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
h-9Uu3sX71Qo_arhNH3hhw,LU,47.1431105,8.1865094,118.362,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
joxOAL7ftavJnDfa-KFLyA,LU,47.1424283,8.1883304,124.107,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
ZDEyPW66Vn1N70Sj6Gi6fQ,LU,47.1415978,8.190364,121.504,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
